sample_index,year,gender,filename,label,notes
84,1891,m,9113__wilde_lord_arthur_chp18of18_seed9113.html,reprint,
85,1892,m,11591__stevenson_beach_falesá_chp4of7_seed11591.html,reprint,
86,1858,m,4122__trollope_doctor_thorne_chp7of47_seed4122.html,reprint,
87,1864,m,5496__trollope_small_house_allington_chp18of60_seed5496.html,reprint,
88,1896,m,7499__hardy_jude_obscure_chp52of53_seed7499.html,reprint,
89,1899,m,9109__kipling_stalky_chp4of9_seed9109.html,reprint,
90,1897,m,8594__wells_invisible_man_chp16of29_seed8594.html,reprint,
91,1874,m,5781__trollope_phineas_redux_chp7of80_seed5781.html,reprint,
92,1888,m,7927__stevenson_black_arrow_chp18of33_seed7927.html,reprint,
93,1899,m,7962__james_awkward_age_chp9of38_seed7962.html,reprint,
94,1856,w,3700__craik_john_halifax_chp2of40_seed3700.html,reprint,
95,1855,m,7448__trollope_the_warden_chp18of21_seed7448.html,reprint,
96,1891,m,9112__wilde_house_pomegranates_chp2of4_seed9112.html,reprint,
97,1841,m,3203__cooper_deerslayer_chp14of33_seed3203.html,reprint,
98,1869,m,5498__trollope_phineas_finn_chp20of76_seed5498.html,reprint,
99,1897,m,9107__kipling_captains_courageous_chp2of10_seed9107.html,reprint,
100,1873,w,5830__alcott_work_chp1of20_seed5830.html,reprint,
101,1894,m,4878__du_maurier_trilby_chp7of8_seed4878.html,reprint,
102,1874,m,5779__trollope_lady_anna_chp39of48_seed5779.html,reprint,
