sample_index,year,gender,filename,label,single_novel_author,multivolume_novel,notes
78,1895,m,14763__barr_gods_donkey_wings_chp6of11_seed14763.html,random,1,0,
79,1889,w,1289__fane_story_helen_davenant_chp28of47_seed1289.html,random,0,1,
80,1887,w,1446__jameson_training_chp34of100_seed1446.html,random,1,1,
81,1900,w,7726__linton_second_youth_theodora_desanges_chp4of21_seed7726.html,random,0,0,
82,1876,w,2338__grant_next_neighbour_chp20of38_seed2338.html,random,0,1,
85,1889,m,14922__laurie_conquest_moon_chp33of36_seed14922.html,random,0,0,
86,1901,w,13346__rhys_wooing_sheila_chp20of42_seed13346.html,random,0,0,
87,1899,m,11738__bullock_barrys_chp17of17_seed11738.html,random,0,0,
88,1887,u,1682__carstone_love_conqueror_chp7of17_seed1682.html,random,1,1,"gender perhaps incorrect, first name is Sydney"
89,1880,w,14823__chatelain_man_many_daughters_chp103of104_seed14823.html,random,0,0,
90,1875,w,2355__helmore_cap_and_bells_chp15of48_seed2355.html,random,0,1,
91,1869,m,707__trollope_garstangs_garstangs_grange_chp1of49_seed707.html,random,0,1,
92,1877,u,5710__anon_lady_lynway_chp33of33_seed5710.html,random,1,1,
93,1900,m,8534__boldrewood_babes_bush_chp9of27_seed8534.html,random,0,0,
99,1838,m,7400__ware_last_days_aurelian_chp8of11_seed7400.html,random,0,1,
